scenario,seed,mode,result,elapsed_s,distance_m,scripted_risk_exposure_s,hold_steps
rocky_path,7,baseline,ARRIVED,37.65,15.572,0.0,0
rocky_path,7,risk_aware,ARRIVED,37.65,15.572,0.0,0
rocky_path,8,baseline,ARRIVED,37.8,15.607,0.0,0
rocky_path,8,risk_aware,ARRIVED,37.8,15.607,0.0,0
rocky_path,9,baseline,ARRIVED,35.85,15.311,0.0,0
rocky_path,9,risk_aware,ARRIVED,35.85,15.311,0.0,0
uncertain_shortcut,7,baseline,ARRIVED,33.3,14.786,12.555,0
uncertain_shortcut,7,risk_aware,ARRIVED,42.75,16.522,0.0,0
uncertain_shortcut,8,baseline,ARRIVED,33.3,14.786,12.555,0
uncertain_shortcut,8,risk_aware,ARRIVED,42.75,16.522,0.0,0
uncertain_shortcut,9,baseline,ARRIVED,33.3,14.786,12.555,0
uncertain_shortcut,9,risk_aware,ARRIVED,42.75,16.522,0.0,0
camera_dropout,7,baseline,ARRIVED,40.65,15.574,0.0,17
camera_dropout,7,risk_aware,ARRIVED,40.65,15.574,0.0,17
camera_dropout,8,baseline,ARRIVED,40.05,15.608,0.0,16
camera_dropout,8,risk_aware,ARRIVED,40.05,15.608,0.0,16
camera_dropout,9,baseline,ARRIVED,38.55,15.292,0.0,16
camera_dropout,9,risk_aware,ARRIVED,38.55,15.292,0.0,16
ditch,7,baseline,ARRIVED,40.5,16.471,0.0,0
ditch,7,risk_aware,ARRIVED,40.5,16.471,0.0,0
ditch,8,baseline,ARRIVED,40.5,16.435,0.0,0
ditch,8,risk_aware,ARRIVED,40.5,16.435,0.0,0
ditch,9,baseline,ARRIVED,40.35,16.448,0.0,0
ditch,9,risk_aware,ARRIVED,40.35,16.448,0.0,0
